gene	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6
ENSRNOG00000000846	0	0	0	0	0	0
ENSRNOG00000000847	2784.44205	2674.99814	2491.00389	2708.00143	2831.9997	2498.00256
ENSRNOG00000000848	378	385	376.0004	384	439	386.9998
ENSRNOG00000000850	19	27.99998	23.00002	27	17	23.00002
ENSRNOG00000000851	6549.67	5433.139	5919.506	7021.31	6611.57	5502.004
ENSRNOG00000000852	10612.9971	6483.00063	8355.99881	13187.9703	12366.025	6105.00427
ENSRNOG00000000853	30.99996	41	27.00003	25.99996	22.99998	29.99999
ENSRNOG00000000854	25	28	13	18	22	28
ENSRNOG00000000855	5	9	6	7	6	5
ENSRNOG00000000857	30	29.99996	25	47	31	38
ENSRNOG00000000858	132.0004	128.0005	102	126	117	108
ENSRNOG00000000860	599	566	405	572	601	623
ENSRNOG00000000861	8.1555	12.1868	7.18481	9.26518	8.36274	11.1765
ENSRNOG00000000866	927	972	756	808	834	967
ENSRNOG00000000867	3793.9977	3504.0030007799	3010.99835438	3638.99620322	3603.9977817826	3262.00472163
ENSRNOG00000000869	811	731	435	690	612	725
ENSRNOG00000000871	15.0035	18.0065	18.0064	15.0066	5.00303	15.0078
ENSRNOG00000000873	0	0	0	0	0	0
ENSRNOG00000000875	48050.985	42971.0084	9648.9904	30507.9684	32737.965	50533.0498
ENSRNOG00000000878	9	5	4	10	0	7
ENSRNOG00000000879	898.665	860.549	827.675	877.94	746.56	771.676
ENSRNOG00000000881	1083.65	1049.6	884.587	969.396	800.75	920.452
ENSRNOG00000000885	359	220	352	490	401	227
ENSRNOG00000000886	0	0	0	0	0	0
ENSRNOG00000000887	0	0	0	0	0	0
ENSRNOG00000000888	1352	1476	1172	1485	1358	1337
ENSRNOG00000000889	4.81856	2.0053107	3.00497	2.1518	4.00382	2.00179
ENSRNOG00000000891	418.38	412.816	422.186	353.424	343.804	424.732
ENSRNOG00000000893	915.00011	873	1086	1181	1128	860.00031
ENSRNOG00000000894	4656.6995	3326.0022	4218.997	4658.0017	4018.0008	3685.00400014946
ENSRNOG00000000895	404	428	353	370	336	351
ENSRNOG00000000896	1.00011	0	0	0	0	1
ENSRNOG00000000897	5	4	1	2	0	2
ENSRNOG00000000900	189	200	232	256.0001	209	211
ENSRNOG00000000901	374	402	345.0004	390	303	400
ENSRNOG00000000902	2042	1951	1522	1673	1643	1848
ENSRNOG00000000903	531	575	502	531	583	501
ENSRNOG00000000904	0	0	1	1	0	0
ENSRNOG00000000905	19	25	29	23	9	22
ENSRNOG00000000906	191	160	142	150	130	135
ENSRNOG00000000907	14	9	17	13	9	13
ENSRNOG00000000909	514.0001	576.9998	434.0002	554.0005	511.0004	474.9997
ENSRNOG00000000913	496.02502	432.00012	481.01893	457.00392	465	409.9997
ENSRNOG00000000916	8.44915	8.41224	20.1031	24.4201	31.0026	15.1549
ENSRNOG00000000917	124	89	109	169	132	108
ENSRNOG00000000918	870.933	968.04	988.313	1075.84	1015.31	933.233
ENSRNOG00000000920	24	25	30	35	37	17
ENSRNOG00000000921	1449	1417	1700	1876	1609	1315
