gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000000665	1599.004	1470.997	1573.996	1563.003	1559	1900.005
ENSRNOG00000000691	0	0	0	0	0	0
ENSRNOG00000000692	499	442	513	474	426	563
ENSRNOG00000000693	30.9999928	33.9017	24	19	22	29
ENSRNOG00000000695	549	468	513	441	438	426
ENSRNOG00000000697	2305	2051	2347	2269	2187	2681
ENSRNOG00000000699	81	93	129	94	89	86
ENSRNOG00000000700	401	378	464	373	422	438
ENSRNOG00000000701	2098	1831	2243	2079	2060	2320
ENSRNOG00000000702	997	967	974	943	1015	1084
ENSRNOG00000000704	167.716	146.91	173.108	179.91	178.739	177.125
ENSRNOG00000000708	2	3	3	5	1	4
ENSRNOG00000000713	0	0	0	0	0	0
ENSRNOG00000000715	4	0	0	0	0	0
ENSRNOG00000000716	0	1	0	0	0	1
ENSRNOG00000000718	1673	1554	1583	1750	1637	2118
ENSRNOG00000000720	338.55	303	321	335	312.314	398
ENSRNOG00000000723	184.617	210.60142	224.608	206.81277	219.254	258.199
ENSRNOG00000000726	0	0	0	0	0	0
ENSRNOG00000000728	249	266	256	268	251	347
ENSRNOG00000000729	466.1345	356	449.01628	404.0258	430	536.0652
ENSRNOG00000000746	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0
ENSRNOG00000000748	10.8866	6.96352	11.8752	11.925	6.94293	13.7283
ENSRNOG00000000749	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0
ENSRNOG00000000763	88.1955	67.1131	71.2811	77.426	65.2877	71.1394
ENSRNOG00000000765	0	0	0	0	0	0
ENSRNOG00000000767	1	0	0	0	0	2
ENSRNOG00000000768	0	0	0	2	0	2
ENSRNOG00000000774	1856.93422	1719.2338	1793.28656	1843.94461	1551.9834	1810.96998
ENSRNOG00000000775	91	73	70.3406	90	59.3111	89
ENSRNOG00000000777	281.61211	319.5164	327.1806	302.09	324.87993	398.81046
ENSRNOG00000000778	136.35799	132.78015	109.59654	142.29928	145.97192	139.21065
ENSRNOG00000000779	272.99968	233.99969	235.99985	220.99952	239.99999	311
ENSRNOG00000000780	782.00041	675.99979	823.00032	725.00004	636.00048	848.0002
ENSRNOG00000000781	25.00001	23.000041	26.99999	34	31	42
ENSRNOG00000000782	1	2	1	3	1	4
ENSRNOG00000000783	0	0	0	0	0	0
ENSRNOG00000000785	337.707993	272.8416	309.2427	290.61505	287.24614	301.55863
