gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000051034	0	0	0	0	0	0
ENSRNOG00000051035	0	0	0	0	0	0
ENSRNOG00000051036	0	0	1.00028	1	0	1.00014
ENSRNOG00000051037	3.00011	0	1.00004	0	2	0
ENSRNOG00000051038	0	0	0	0	0	0
ENSRNOG00000051041	1.7107	2.23514	1.39844	1.47864	4.40541	6.57397
ENSRNOG00000051042	1	0	0	1	0	1
ENSRNOG00000051043	0	1	0	0	0	1
ENSRNOG00000051044	0	0	0	0	0	0
ENSRNOG00000051047	0	2.00091	4.00038	2.00077	0	2.00029
ENSRNOG00000051048	0	5.15058	3	2	1.03501	5
ENSRNOG00000051050	0	0	0	0	0	0
ENSRNOG00000051051	500	399	421	452	421	481
ENSRNOG00000051052	0	0	0	0	0	0
ENSRNOG00000051053	0	0	0	0	0	0
ENSRNOG00000051054	0	0	0	0	0	0
ENSRNOG00000051055	0	0	0	0	0	0
ENSRNOG00000051056	407	362	391	381	363	404
ENSRNOG00000051057	0	0	0	1	0	0
ENSRNOG00000051058	1.26971	3.61948	11.396	10.2061	4.93632	6.96888
ENSRNOG00000051059	0	0	0	0	0	0
ENSRNOG00000051060	0	0	1.00569	0	0	0
ENSRNOG00000051061	1691.998	1495	1651.995	1614.996	1608.999	1780.001
ENSRNOG00000051063	1.17915	1.16422	3.40219	1.15198	3.35145	1.14707
ENSRNOG00000051064	0	0	0	0	0	0
ENSRNOG00000051066	0	0	0	0	0	0
ENSRNOG00000051067	0	0	0	0	0	0
ENSRNOG00000051068	0	0	0	0	0	0
ENSRNOG00000051069	105.65247	98.39211	106.22233	97.24362	95.66677	113.3812
ENSRNOG00000051070	0	0	0	0	0	0
ENSRNOG00000051071	0	0	0	0	0	0
ENSRNOG00000051072	0	0	0	0	0	0
ENSRNOG00000051074	0	0	0	0	0	0
ENSRNOG00000051075	0	0	2.00354	0	0	0
ENSRNOG00000051077	53.5031	60.1763	50.1407	52.8219	46.0698	32.262
ENSRNOG00000051078	34.9198	34	35	36	28	29
ENSRNOG00000051081	0	0	0	0	0	0
ENSRNOG00000051083	0	0	0	0	0	0
ENSRNOG00000051084	0	0	0	0	0	0
ENSRNOG00000051087	0	0	0	0	0	0
ENSRNOG00000051090	0	0	0	0	0	0
ENSRNOG00000051091	0	0	0	0	0	0
ENSRNOG00000051093	0	0	0	0	0	0
ENSRNOG00000051094	0	0	0	0	0	0
ENSRNOG00000051095	0	0	0	0	0	0
ENSRNOG00000051096	0	0	0	0	0	0
ENSRNOG00000051097	0	0	0	0	0	0
ENSRNOG00000051099	0	2	0	2	0	1
ENSRNOG00000051102	272.341	245.235	255.006	263.123	305.058	260.105
ENSRNOG00000051103	1	2	0	2	0	2
ENSRNOG00000051104	0	0	0	0	0	1
ENSRNOG00000051105	0	0	1.0001	0	0	0
ENSRNOG00000051106	0	2.00446	3	4	4	1
ENSRNOG00000051107	0	0	0	0	0	0
ENSRNOG00000051108	0	0	0	0	0	0
ENSRNOG00000051109	0	0	0	0	0	0
ENSRNOG00000051111	0	0	0	0	0	0
ENSRNOG00000051112	0	0	0	0	0	0
ENSRNOG00000051113	2.00045	0	1.14717	0	1.20543	0
ENSRNOG00000051114	1.49644	0	1.14688	2.00321	0	3.00588
ENSRNOG00000051115	0	0	0	0	0	0
ENSRNOG00000051116	0	0	0	0	0	0
ENSRNOG00000051117	0	0	0	0	0	0
ENSRNOG00000051118	0	0	0	0	0	0
ENSRNOG00000051120	61	75	71	59.00003	68	60
ENSRNOG00000051121	0	2.44621	1.29374	0	0	0
ENSRNOG00000051122	0	0	0	0	0	0
ENSRNOG00000051123	0	0	0	0	0	0
ENSRNOG00000051124	0	0	0	0	0	0
ENSRNOG00000051125	0	0	4	0	3.00205	4.00223
ENSRNOG00000051128	1.00103	0	0	1	0	0
ENSRNOG00000051129	0	0	0	0	0	0
ENSRNOG00000051132	12.2682	10.2064	10.4145	11.3986	9.97081	16.5147
ENSRNOG00000051133	0	0	0	0	0	0
ENSRNOG00000051137	0	0	0	0	0	0
ENSRNOG00000051138	0	0	0	0	0	0
ENSRNOG00000051140	1.00051	0	0	0	0	0
ENSRNOG00000051142	0	0	0	0	0	0
ENSRNOG00000051144	0	0	0	0	0	0
ENSRNOG00000051145	0	1	0	1	0	0
ENSRNOG00000051147	1.00102	1.59099	0	0	3.16636	7.75202
ENSRNOG00000051148	0	0	0	0	0	0
ENSRNOG00000051149	0	0	0	0	0	0
ENSRNOG00000051150	5	5	11	12	12	2
ENSRNOG00000051151	1901.003	1843	1960.999	2048.997	1934.998	2530.003
ENSRNOG00000051152	37.00002	29.00001	33.00008	31.99998	34.99997	40.99998
ENSRNOG00000051153	0	0	0	0	0	0
ENSRNOG00000051155	2	0	0	1	0	1.00018
ENSRNOG00000051156	33.3172	25.3715	22.8751	33.9837	25.3146	36.4569
ENSRNOG00000051158	27.8462	11.6074	22.1138	0	42.8902	44
ENSRNOG00000051159	2.01436	0	0	0	0	0
ENSRNOG00000051161	2	1	1	3	4	0
ENSRNOG00000051163	1	2.00124	0	0	0	0
ENSRNOG00000051164	1.1848	0	0	0	0	0
ENSRNOG00000051165	0	0	0	0	0	0
ENSRNOG00000051167	0	0	0	0	0	0
ENSRNOG00000051168	0	0	0	0	0	1
ENSRNOG00000051169	0	0	2	0	0	3
ENSRNOG00000051170	5266.6538	4658.28578	4265.7707	4829.393	4332.05072	4933.8636
ENSRNOG00000051171	0	0	0	0	0	1
ENSRNOG00000051172	1.00026	0	0	0	0	0
ENSRNOG00000051174	0	0	0	0	0	0
ENSRNOG00000051176	0	0	0	0	0	0
ENSRNOG00000051178	0	0	0	0	0	0
ENSRNOG00000051179	1351.40122	1235.5167	1317.17282	1312.77674	1217.632	1501.91436
ENSRNOG00000051180	604.883	531.967	858.457	737.905	827.035	1050.87
ENSRNOG00000051181	8.21908	8	4.00087	7.00295	4.25725	4.1667
ENSRNOG00000051182	0	0	1	0	0	1
ENSRNOG00000051184	0	0	0	0	0	0
ENSRNOG00000051185	0	0	0	0	0	0
ENSRNOG00000051186	0	0	0	0	0	0
ENSRNOG00000051187	0	0	0	0	0	0
ENSRNOG00000051192	0	0	0	0	1	0
ENSRNOG00000051193	1023.56	951.639	1114.51	1198.23	1058.44	1492.88
ENSRNOG00000051195	0	0	0	0	0	0
ENSRNOG00000051196	933.0967	738.7204	796.17047	743.3204	737.8111	769.59222
ENSRNOG00000051197	0	1.06159	1.21319	0	0	0
ENSRNOG00000051198	0	0	0	0	0	0
ENSRNOG00000051199	0	0	0	0	0	0
ENSRNOG00000051200	0	1	0	0	0	0
ENSRNOG00000051202	0	0	0	0	0	0
ENSRNOG00000051203	0	0	0	0	0	0.5
ENSRNOG00000051204	1576	1362	1268	1144	1154.9987	1144
ENSRNOG00000051206	0	1.00041	0	0	1.00027	0
ENSRNOG00000051207	9.15856	2.07496	4.13276	11.3807	9.34903	12.0674
ENSRNOG00000051208	0	0	0	0	0	0
ENSRNOG00000051209	5	8	6	9	9	3
ENSRNOG00000051210	24	21	30	15	17	29
ENSRNOG00000051211	0	0	0	0	0	0
ENSRNOG00000051212	0	0	0	0	0	0
ENSRNOG00000051213	0	0	0	2	0	0
ENSRNOG00000051214	0	0	0	0	0	0
ENSRNOG00000051215	0	0	0	0	0	0
ENSRNOG00000051219	0	0	0	0	0	0
ENSRNOG00000051220	0	0	0	0	0	0
ENSRNOG00000051223	0	0	0	0	0	0
ENSRNOG00000051224	0	1	0	0	0	1.00041
ENSRNOG00000051225	0	0	0	0	0	0
ENSRNOG00000051227	0	0	0	0	0	0
ENSRNOG00000051228	0	0	0	0	0	0
ENSRNOG00000051229	0	0	0	0	0	0
ENSRNOG00000051231	0	0	0	0	0	0
ENSRNOG00000051232	1969	1947	2012	2181	2026	2612.004
ENSRNOG00000051233	0	0	0	0	0	0
ENSRNOG00000051235	167.425	160.331	167.674	154.47	143.43	200
ENSRNOG00000051236	0	0	0	0	0	0
ENSRNOG00000051237	14.0633	17.0646	11.0196	13.0573	6.03195	17.054
ENSRNOG00000051238	1112.8824	1043.8415	1118.3316	1112.9681	938.8828	1477.573
ENSRNOG00000051239	0	0	0	0	0	0
ENSRNOG00000051240	0	0	0	0	0	0
ENSRNOG00000051241	0	0	0	0	0	0
ENSRNOG00000051243	0	0	0	0	0	0
ENSRNOG00000051244	0	0	0	0	0	0
ENSRNOG00000051246	0	0	0	0	0	0
ENSRNOG00000051247	0	0	0	0	0	0
ENSRNOG00000051249	0	0	1.00079	0	0	0
ENSRNOG00000051250	0	0	0	0	0	0
ENSRNOG00000051252	6.0126	7.02007	5.01158	8.02703	9.02797	15.0485
ENSRNOG00000051253	3.56692	2.23464E-07	11.5159	10.7363	11.1129	15.7441
ENSRNOG00000051255	0	0	0	0	0	0
ENSRNOG00000051256	212.0005	170.9999	189.9995	272.9998	200.9996	248.0002
ENSRNOG00000051258	839.21081	746.3062	893.9113	866.09254	1018.8804	1019.74571
ENSRNOG00000051259	0	4.21763	1	0	0	0
ENSRNOG00000051260	0	0	0	0	0	0
ENSRNOG00000051262	0	0	0	0	0	0
ENSRNOG00000051265	0	0	0	0	0	0
ENSRNOG00000051267	0	0	1	0	0	0
ENSRNOG00000051268	0	0	0	0	0	0
ENSRNOG00000051269	0	0	0	0	0	0
ENSRNOG00000051270	31.9541	35.3299	22.1841	33.7626	33.2973	58.5047
ENSRNOG00000051271	0	0	0	0	0	0
ENSRNOG00000051273	0	0	0	0	0	0
ENSRNOG00000051274	0	2	2	4	3	1
ENSRNOG00000051276	0	0	0	0	0	0
ENSRNOG00000051278	16.7906	17.2199	23.1159	29.6563	36.4443	43.0456
ENSRNOG00000051279	20.0331	14.0268	15	24.0675	19	27.0391
ENSRNOG00000051280	0	0	2.97526	3.06742	3.05527	0
ENSRNOG00000051281	0	0	0	0	0	0
ENSRNOG00000051282	0	0	0	0	0	0
ENSRNOG00000051284	1.02248	3.06223	1.01971	0	3.061	1.02297
ENSRNOG00000051286	445.582	525.328	221.535	434.485	285.773	446.647
ENSRNOG00000051287	0	0	0	0	0	0
ENSRNOG00000051288	0	0	0	0	0	0.000277139
ENSRNOG00000051289	0	3.82343	2.13192	0	0	3.00366
ENSRNOG00000051290	0	0	0	3	0	0
ENSRNOG00000051291	87.14185	66.2385	73	65.7824	66.5484	77.8668
ENSRNOG00000051293	0	0	0	0	0	0
ENSRNOG00000051294	0	0	0	0	0	0
ENSRNOG00000051295	0	0	0	0	0	1
ENSRNOG00000051296	0	0	0	0	0	0
ENSRNOG00000051297	0	0	0	0	0	0
ENSRNOG00000051301	1	1	0	0	0	0
ENSRNOG00000051302	0	0	0	0	0	0
ENSRNOG00000051305	0	0	0	0	0	0
ENSRNOG00000051307	248.239	220.599	208.698	213.353	210.404	250.286
ENSRNOG00000051308	0	0	0	0	0	0
ENSRNOG00000051309	0	0	0	0	0	0
ENSRNOG00000051310	64.914	58.8032	79.053	60.8663	71.9795	94.5011
ENSRNOG00000051312	0	0	0	0	0	0
ENSRNOG00000051313	0	0	0	0	0	0
ENSRNOG00000051314	0	0	0	0	0	0
ENSRNOG00000051315	0	0	0	0	0	0
ENSRNOG00000051318	0	1.00002	0	0	1.02812	1.01695
ENSRNOG00000051319	0	0	0	0	0	0
ENSRNOG00000051320	0	0	2.0004	1.00061	1.00032	0
ENSRNOG00000051322	0	0	0	0	0	0
ENSRNOG00000051323	0	0	0	0	0	0
ENSRNOG00000051324	0	1	0	0	1	0
ENSRNOG00000051326	0	0	0	0	0	0
ENSRNOG00000051327	0	0	0	0	0	0
ENSRNOG00000051328	0	0	0	0	0	0
ENSRNOG00000051331	0	0	0	0	0	0
ENSRNOG00000051332	0	2.08734	0	0	0	0
ENSRNOG00000051333	0	0	0	0	0	0
ENSRNOG00000051334	1	0	0	0	0	1
ENSRNOG00000051335	0	0	0	0	0	0
ENSRNOG00000051336	1.0003	0	1.00035	0	0	0
ENSRNOG00000051337	0	0	0	0	0	0
ENSRNOG00000051338	0	1	0	0	0	0
ENSRNOG00000051340	0	0	0	0	0	0
ENSRNOG00000051342	0	0	0	0	0	0
ENSRNOG00000051344	1897.521	1780.966	1915.559	1858.064	1727.985	2118.083
ENSRNOG00000051345	10.1991	6.36845	6.07225	8.75587	1.08106	10.9044
ENSRNOG00000051348	0	0	0	0	0	0.999723
ENSRNOG00000051349	12.2682	10.2064	10.4145	11.3986	9.97081	16.5147
ENSRNOG00000051350	0	0	2	0	0	1
ENSRNOG00000051351	0	0	0	0	0	0
ENSRNOG00000051352	3	1	1	0	0	1
ENSRNOG00000051355	0	0	0	0	0	0
ENSRNOG00000051357	0	0	0	0	0	0
ENSRNOG00000051358	0	0	0	0	0	0
ENSRNOG00000051359	0	0	2.00027	3.00056	0	0
ENSRNOG00000051362	0	0	0	0	0	0
ENSRNOG00000051363	0	1	0	0	1	1
ENSRNOG00000051372	99	84	101	102	96	84
ENSRNOG00000051377	117.103	93.0975	98.0968	107.435	86	130.324
ENSRNOG00000051382	655.83184	568.9291	655.74742	585.81903	541.000250012102	739.9224
ENSRNOG00000051383	35.3877	31.3478	33.3338	24.688	33.0049	33.2237
ENSRNOG00000051390	26.1056	21.0912	18.3873	22.8345	29.942	31.9997
ENSRNOG00000051398	0	0	0	0	0	0
ENSRNOG00000051399	3	1	3	2	4	1
ENSRNOG00000051404	59.7334	66.3832	106.009	96.096	82.1565	99.749
ENSRNOG00000051405	3	0	0	1	1	1
ENSRNOG00000051408	1577.00771	1383.9077	1409.2221	1638.4799	1405.24613	1984.0909
ENSRNOG00000051410	2.39695	0	4.87222	2.79127	2.41034	1.32104
ENSRNOG00000051414	0	0	0	0	0	0
ENSRNOG00000051416	176.36	181.692	203.809	170.617	219.771	215.004
ENSRNOG00000051418	0	0	0	0	0	0
ENSRNOG00000051419	0	0	0	0	0	0
ENSRNOG00000051420	329	276	295	216	264	249
ENSRNOG00000051423	0	0	0	0	0	0
ENSRNOG00000051424	0	0	0	0	0	0
ENSRNOG00000051429	0	0	0	0	0	0
ENSRNOG00000051431	0	0	0	0	0	0
ENSRNOG00000051433	158.208	115.703	138.403	118.005	127.383	159.573
ENSRNOG00000051438	0	0	0	0	0	3
ENSRNOG00000051439	0	0	0	0	0	0
ENSRNOG00000051440	4807.59	4129.57	4076.55	4250.56	4066	4324.52
ENSRNOG00000051442	172.181	154.992	155.06	173	170.566	223.76
ENSRNOG00000051447	0	0	0	0	0	0
ENSRNOG00000051448	0	0	0	0	0	0
ENSRNOG00000051449	27.8833	24.9248	24	21.9802	21.3092	25.5344
ENSRNOG00000051450	866	731	916	875	765	984
ENSRNOG00000051451	0	0	0	0	0	0
ENSRNOG00000051457	0	0	0	0	0	0
ENSRNOG00000051458	238.939	227.484	228.905	223.329	203.952	233.723
ENSRNOG00000051464	0	0	0	0	0	0
ENSRNOG00000051465	0	0	0	1	2	0
ENSRNOG00000051470	52	49	56	51	44	64
ENSRNOG00000051471	0	0	2	0	0	1
ENSRNOG00000051472	0	0	0	0	0	0
ENSRNOG00000051478	0	0	0	0	0	0
ENSRNOG00000051479	0	0	0	0	0	0
ENSRNOG00000051480	4261.7	4043	4132	4432.84	4068	5379.52
ENSRNOG00000051482	609.284	546.437	574.559	634.157	608.927	783.867
ENSRNOG00000051483	3122	2748	3381	2912	2917	3486
ENSRNOG00000051484	0	1.04765	0	0	0	0
ENSRNOG00000051485	0	0	0	0	0	0
ENSRNOG00000051487	815	734	885	723	726	750
ENSRNOG00000051489	0	0	0	0	0	0
ENSRNOG00000051490	2805	2604	2731	2592	2500	2764
ENSRNOG00000051494	0	0	0	0	8	15
ENSRNOG00000051496	4	3	3	5.05442	2.00763	4.01132
ENSRNOG00000051498	1383	1239	1354	1293	1285	1601
ENSRNOG00000051499	1494.004	1182	1519.001	1285	1297	1415.004
ENSRNOG00000051507	223	189.9998	231	188.0001	196.9998	242.9998
ENSRNOG00000051510	7	3	15	6	7	6
ENSRNOG00000051513	0	0	0	0	0	0
ENSRNOG00000051514	0	0	0	0	0	0
ENSRNOG00000051516	0	0	0	0	0	0
ENSRNOG00000051518	0	0	0	0	0	0
ENSRNOG00000051528	220	231	214	195	221	239
ENSRNOG00000051529	0	0	0	0	0	0
ENSRNOG00000051531	259.369	229.421	329.73	273.541	287.145	300.306
ENSRNOG00000051534	11	7	14	7	12	12
ENSRNOG00000051536	85	80	94	72.99996	77	88
ENSRNOG00000051548	49.8792	57.4305	79.4508	68.6835	51.3527	75.8739
ENSRNOG00000051562	0	0	0	0	0	0
ENSRNOG00000051563	117.652	123.781	130.577	123.606	133.176	193.929
ENSRNOG00000051564	788.25	627.531	641.633	693.476	613.03	802.966
ENSRNOG00000051568	0	0	0	0	0	0
ENSRNOG00000051569	29.9557	31.9718	22.7376	0	20.2883	19.0988
ENSRNOG00000051570	148	116	145	111	101	224
ENSRNOG00000051578	62	60.1566	91	64.2795	53.1534	114.187
ENSRNOG00000051581	0	0	0	0	0	0
ENSRNOG00000051586	0	0	0	0	0	0
ENSRNOG00000051589	0	0	0	0	0	0
ENSRNOG00000051590	3	2	3	3	0	2
ENSRNOG00000051591	17.5901	9.11234	8.3924	13.3027	13.5217	13.1974
ENSRNOG00000051592	581.779	586.275	547.03	628.152	492.955	676.49
ENSRNOG00000051594	8.29892	1.66527	1.75722	2.34068	0	5.95361
ENSRNOG00000051596	0	0	0	0	0	0
ENSRNOG00000051598	20.355	6.3602	12.3726	12.7218	21.9916	22.1621
ENSRNOG00000051600	5.00467	12.0349	12.0254	13.0134	7.00783	12.0447
ENSRNOG00000051603	0	0	0	0	0	0
ENSRNOG00000051606	151.5327	130.0624	117.7923	101.80971	128.03118	160.7755
ENSRNOG00000051607	0	0	0	0	0	0
ENSRNOG00000051609	0	0	0	0	0	0
ENSRNOG00000051610	0	0	0	0	0	0
ENSRNOG00000051615	6622	5830.91	6073	6142	5795.89	7495.8
ENSRNOG00000051619	4768.12	3979.63	3839.48	3475.05	3642.6	4005
ENSRNOG00000051620	2260.999	2026.997	2177.004	2278.005	2058.997	2462.002
ENSRNOG00000051621	36	27	28	20	31	21
ENSRNOG00000051623	290.94	264.843	306.857	296.935	330.09	411.698
ENSRNOG00000051624	1440.61	1313.59	1604.52	1563.47	1484.73	2036.46
ENSRNOG00000051627	0	0	0	1.03542	0	1.03623
ENSRNOG00000051631	0	0	0	0	0	0
ENSRNOG00000051632	0	0	0	0	0	0
ENSRNOG00000051633	0	0	0	0	0	0
ENSRNOG00000051634	0	0	0	2	0	0
ENSRNOG00000051648	56.0212	56.9792	45.1413	54.0201	57.1891	64.6708
ENSRNOG00000051650	4191	3911	4298	4475	4121	5670
ENSRNOG00000051653	0	0	0	0	0	0
ENSRNOG00000051657	0	0	0	0	0	0
ENSRNOG00000051661	0	0	0	0	0	0
ENSRNOG00000051662	17.2114	17.4546	17.9485	17.069	10.8065	43.1087
ENSRNOG00000051664	86.4798	74.5074	78.3562	58.7785	82.0469	162.02
ENSRNOG00000051666	0	0	0	0	0	0
ENSRNOG00000051667	0	0	0	0	0	0
ENSRNOG00000051669	82	59	70	77	70	96
ENSRNOG00000051671	3020.45	2633.53	2570.84	2923.92	2783.22	3100.63
ENSRNOG00000051678	1.9652	1.94975	4.09624	1.87194	0	1.12856
ENSRNOG00000051680	859	754	789	799	790	966
ENSRNOG00000051681	0	4	4	1	5	1
ENSRNOG00000051682	784.998	691.783	733.992	759.99	717.701	907.794
ENSRNOG00000051684	2	1	3	2	2	3
ENSRNOG00000051688	3	1	5	7	3	4
ENSRNOG00000051689	0	0	0	0	0	1
ENSRNOG00000051690	9	8	4	5	11	7
ENSRNOG00000051691	21	21	17	36	12	25
ENSRNOG00000051694	0	0	0	0	0	0
ENSRNOG00000051699	790	716	795	792	755	898
ENSRNOG00000051704	12	8	3	11	6	2
ENSRNOG00000051706	2072.0035	1740.9959	1701.0000338698	1613.000340842	1683.0022	1588.0008189
ENSRNOG00000051708	0	0	0	0	0	0
ENSRNOG00000051710	0	0	0	0	0	1.00031
ENSRNOG00000051711	1721.001	1495	1585.001	1791.999	1676.997	2131.001
ENSRNOG00000051719	149.404	140.415	144.931	144.826	127.895	115.203
ENSRNOG00000051720	2064.41	1814.89	2112.61	2147.7	1904.48	2464.8
ENSRNOG00000051721	0	0	0	0	0	0
ENSRNOG00000051726	0	0	0	0	0	0
ENSRNOG00000051727	0	1.33396	4.6845	0	0	0
ENSRNOG00000051728	0	0	0	0	0	0
ENSRNOG00000051732	0	0	0	0	0	0
ENSRNOG00000051734	0	0	0	0	0	0
ENSRNOG00000051739	0	0	0	0	0	0
ENSRNOG00000051746	82.1136	60.7827	62.7643	67.3242	47.0003	85.7699
ENSRNOG00000051748	1.00043	0	0	0	0	0
ENSRNOG00000051756	448	423	434	362	343	554
ENSRNOG00000051757	0	0	0	0	0	0
ENSRNOG00000051758	1.00532	5.35922	0	0	3	1
ENSRNOG00000051760	0	0	0	0	0	0
ENSRNOG00000051762	0	0	0	0	0	0
ENSRNOG00000051768	0	0	0	0	0	0
ENSRNOG00000051770	0	0	0	4	3	1
ENSRNOG00000051775	19.7212	14.1819	10.723	12.0779	12.3927	16.9103
ENSRNOG00000051778	0	0	0	0	0	0
ENSRNOG00000051784	0	0	0	0	0	0
ENSRNOG00000051785	0	0	0	0	0	0
ENSRNOG00000051792	394.537	323.005	294.926	329.022	299.333	397.135
ENSRNOG00000051799	0	0	0	0	0	0
ENSRNOG00000051802	21.5766	38.9671	29.0177	18.3216	18.4312	20.6409
ENSRNOG00000051805	6	3	5	1	5	4
ENSRNOG00000051813	281	259	298	296	289	325
ENSRNOG00000051815	0	0	0	0	0	0
ENSRNOG00000051816	469.951	418	468.915	490.865	448	577.673
ENSRNOG00000051819	116	130	148	142	128	150
ENSRNOG00000051823	75.1129	53.7923	53.622	80.8527	85.866	109.088
ENSRNOG00000051824	11	6	8	10	6	8
ENSRNOG00000051828	0	0	0	0	0	0
ENSRNOG00000051836	2	5	5	3	5.000002	3
ENSRNOG00000051837	6	9	1	3	3	7
ENSRNOG00000051838	189.166	163.884	213.032	204.136	180.39	214.674
ENSRNOG00000051843	0	0	0	0	0	0
ENSRNOG00000051844	141.395	121.947	95.2486	104.346	86.6053	150.176
ENSRNOG00000051847	0	0	0	0	0	0
ENSRNOG00000051848	14	14	9	9	7	15
ENSRNOG00000051854	557	530	558	537	541	615
ENSRNOG00000051858	0	0	0.557851	0	0	0.563018
ENSRNOG00000051860	0	0	0	4.30978	4.38305	2.20503
ENSRNOG00000051867	190	174.243	186	170	160.697	314
ENSRNOG00000051868	557	491.693	539	503	483	582
ENSRNOG00000051869	0	1	1	2	0	1
ENSRNOG00000051881	0	0	0	0	0	0
ENSRNOG00000051882	0	0	0	0	0	0
ENSRNOG00000051885	33894.6	31290.1	35078.7	35115.5	34275.2	47415.1
ENSRNOG00000051889	2778.38	2404.11	2266.01	2513.56	2349.91	2899.18
ENSRNOG00000051891	8	5	12	3	4	5
ENSRNOG00000051904	0	0	0	0	0	0
ENSRNOG00000051905	5	7	5	2	8	5
ENSRNOG00000051906	0	0	0	0	0	0
ENSRNOG00000051909	0	0	0	0	0	0
ENSRNOG00000051911	0	0	0	0	0	0
ENSRNOG00000051912	3.13088	2.07914	5.20426	8.59028	4.09116	2.13162
ENSRNOG00000051915	53	41.99996	39	31.99999	24.99997	49.99996
ENSRNOG00000051917	0	0	0	0	0	0
ENSRNOG00000051922	108.9998457	92	96	89.000046415	93.00002916	125.000000121471
ENSRNOG00000051928	1.00000031	1.99999941	0	0	0	1.00000025
ENSRNOG00000051929	0	1	0	0	0	0
ENSRNOG00000051931	44.018	47.5661	35.907	34.2734	35.6237	49.4293
ENSRNOG00000051932	31.2992	19.0703	25.8782	16.7371	10.5641	22.021
ENSRNOG00000051939	0	0	0	0	0	0
ENSRNOG00000051941	29	24	18	21	26	16
ENSRNOG00000051942	0	0	0	0	0	0
ENSRNOG00000051948	2815	2190	2726	2127	2218	2042
ENSRNOG00000051949	0	0	0	0	0	0
ENSRNOG00000051950	0	0	0	0	0	0
ENSRNOG00000051951	19.5834	29.6568	6.7098	7.13217	3.68684	22.486
ENSRNOG00000051952	175	156	165	166	163	202
ENSRNOG00000051953	0	0	0	0	0	0
ENSRNOG00000051954	27.1107	0	4.46667	11.073	4.16071	10.2713
ENSRNOG00000051957	0	0	0	0	0	0
ENSRNOG00000051960	449	440	458	428	434	589
ENSRNOG00000051964	12.38599	15.27914	13.133127	14.79485	10.329442	14
ENSRNOG00000051965	1377	1236	1238	1347	1324	1482
ENSRNOG00000051970	2	1	1	1	4	1
ENSRNOG00000051973	0	0	0	0	0	0
ENSRNOG00000051977	139	195	192	202	201	222
ENSRNOG00000051980	1.5	1	0	1.5	0.5	2.5
ENSRNOG00000051986	201	162	173	208	167	199
ENSRNOG00000051988	0	3.35224	1.00232	0	0	0
ENSRNOG00000051993	16	14	18	10	13	24.99997
ENSRNOG00000051995	0	0	0	0	0	0
ENSRNOG00000051999	0	0	0	0	0	0
ENSRNOG00000052003	45.8549	52.2186	38.9705	38.07	38.4186	63.0819
ENSRNOG00000052004	723.699	722.762	836.463	806.246	832.75	987.074
ENSRNOG00000052006	0	1	0	0	0	0
ENSRNOG00000052009	0	0	0	0	0	0
ENSRNOG00000052010	1	1	0	0	0	0
ENSRNOG00000052014	0	0	0	0	0	0
ENSRNOG00000052015	0	0	0	0	0	0
ENSRNOG00000052017	0	0	0	0	0	1
ENSRNOG00000052020	0.892776	0	1.81501	0	0	0
ENSRNOG00000052022	7.135	2.04039	1.00958	2.01274	2.01945	2.03032
ENSRNOG00000052023	44.2625	40.327	42.5116	35.6306	28.4316	30.5558
ENSRNOG00000052024	0	0	0	0	0	0
ENSRNOG00000052025	6036	5475	5940	5261	4717	5636
ENSRNOG00000052028	1	0	1	0	0	0
ENSRNOG00000052035	0	0	0	0	0	0
ENSRNOG00000052036	18.9302	9.41256	13.0055	9.25232	16.6306	31.731
ENSRNOG00000052038	378	277	325	319	319	408
ENSRNOG00000052044	0	0	0	0	0	0
ENSRNOG00000052047	0	0	0	0	0	0
ENSRNOG00000052050	0	0	0	0	0	0
ENSRNOG00000052051	39.3933	30.5744	30.1774	46.1261	23.5567	45.7418
ENSRNOG00000052057	25	35	42	27	13	27
ENSRNOG00000052061	25.3154	20.9223	21.8571	14.9596	12.764	25.0578
ENSRNOG00000052062	925	736	750	808	756	855
ENSRNOG00000052063	0	0	0	0	0	0
ENSRNOG00000052064	11	15	10	15	7	10
ENSRNOG00000052069	0	0	0	0	0	0
ENSRNOG00000052070	50	47	51	55	49	55
ENSRNOG00000052071	0	0	0	0	0	0
ENSRNOG00000052075	0	0	0	0	0	0
ENSRNOG00000052080	209.0001	186.9999	193.9997	141.9997	139	182.0003
ENSRNOG00000052087	2215.999	1874	2090.999	1967.005	1880.99947	2077.997
ENSRNOG00000052092	0	0	0	0	0	0
ENSRNOG00000052093	0	0	0	0	0	0
ENSRNOG00000052096	368.042	308.661	337.438	368.662	327.779	397.664
ENSRNOG00000052099	556	509	520.5	546	502	613.5
ENSRNOG00000052100	3	2	2	1.32604	1	4
ENSRNOG00000052102	0	0	0	0	0	0
ENSRNOG00000052104	0	0	0	0	0	0
ENSRNOG00000052106	0	0	0	0	0	0
ENSRNOG00000052111	797	722	839	750	786	900
ENSRNOG00000052113	2885	2557	2898	2594	2508	2734
ENSRNOG00000052116	872	771	768	835	809	935
ENSRNOG00000052118	0	0	0	0	0	0
ENSRNOG00000052124	2	6	4	4	3	5
ENSRNOG00000052128	0	1	1	4	2	0
ENSRNOG00000052129	5	2	6	1	1	5
ENSRNOG00000052130	27	23	20	14	23	36
ENSRNOG00000052134	324	253	306	330	289	423
ENSRNOG00000052138	0	0	0	0	0	0
